content,label
配置方面多，我也没完全用完，主要用的都是常用的,1
动力十足，再不满足就加个外挂,1
漂亮,1
百公里不到八个油，还是比较省油的。,1
精准，稳定，高速过弯时会给人自信的感觉。,1
操控性给人的感觉还是不错的，回位指向什么的都很明确。,1
胎噪声偏大，其他还好,0
没什么特别之处，只是因为我选了铝制饰条，和其他人的不一样，算是一点点缀吧,1
外观大气、稳重、时尚，不失大体又有运动的感觉，空间大，坐着很舒服，后备箱还是挺大的，旅游的时候行李、礼物随便塞。内饰简洁大方，一目了然,1
ABS防抱死，发动机电动防盗，遥控钥匙，无钥匙电动启动/进入系统等等。,1
女性开的话方向偏重。,-1
配置丰富，空间大，储物空间很多，基本上每个物品都有他的归属。全景天窗大爱，超赞。动力足够给油就飞，晚上开车灯管配置较为出彩。,1
12。6吧。。作为一个3T选手这个数值已经算可以了,1
可以接受的油耗,1
1.5T的三缸机比想象的好，对于家用够了。宝马的这机器倒是新鲜。,1
对于这车来说的话还是很满意的。看和什么车比了。,1
乘坐空间在这个级别绝对没话说，总体来讲真的很不错，前后座椅还可以移动，后备箱下面还有空间，车上的储物空间也不错。,1
首次引入同级独有的光脉饰条，灵感来自大都会霓虹闪耀的夜间景象，科技感十足。可以选择繁星、潮汐、幻梦、狂想四种风格迥异的饰条图案。夜晚光脉饰条变化为富有空间感的照明装饰元素，营造独一无二的车内氛围。车内各种控制按键和显示屏围绕驾驶者布置，突出了以运动驾驶体验为中心的设计。双10.25英寸的全液晶仪表盘和可触控中央显示屏共同组成了BMW智能驾驶座舱的显示界面，科技感十足。,1
要什么有什么，全景天窗大爱,1
市区6.4升的油耗，我还是很满意的,1
日常开比较平顺舒适，没太大要求,1
没出磨合，没太猛给油，但依然换强劲。,1
加上选装件落地后的价格40W就能开上宝马敞篷车，性价比很高了！一个字，值！两个字，很值！,1
大，非常非常宽大，乘坐空间非常宽敞，储物空间充足。,1
宝马全系最大的全景天窗是最爱，老婆孩子坐在后面感觉太爽了，同事坐我的车也非常羡慕这么大的全景天窗。天使眼宝马的标志性大灯，宝马就一定要带天使眼、LED大灯没得说，都是比较喜欢的。当然还有蓝天白云的标志了做得很精致。新的车钥匙也很有范儿，刀锋的形状也很精致，特别喜欢。,1
内饰就是家族风格 有些人觉得廉价 我觉得挺有战斗气息的 看起来舒服 中控用起来很方便 我就喜欢触摸键少一些实用一些的内饰 白色装饰板很不错 大灯控制上面的蓝色装饰条点睛 不过也就自己看得见 自己慢慢欣赏吧哈哈 加红色的真皮内饰的话价格是15100 感觉没必要浪费这个钱 红内骚不过裸配的座椅材质已经很棒了,1
前排不错后排俩人，要舒适的话就两个人一条狗,1
就是座椅布料差，让车的档次降低了点！有点遗憾！,-1
电子手刹，阻尼按键完全宝马品质。,1
空间在这个价位的敞篷车里面已经是没有对手了,1
内饰方面，相比于奔驰的很多圆圆的元素很Q萌，宝马的显得更简约大方，低调又透露着品质，两个字来概括就是耐看，还有皮质缝线这一点，很有质感，让人感觉瞬间LEVEL UP了。,1
偏贵，40w左右还行,0
仪表盘没有自发光,-1
前排比较麻烦！两个水杯放上手机钥匙这些就没位置了...只能放门板下面的储物格子里。放,-1
宝马的操控我就不多说了，谁开谁知道，指哪打哪！就算速度快一点过弯都感觉信心满满。,1
220的动力绝对算是够用了，要澎湃一下也有了。国内2系敞篷最高也就这个动力了，没有办法追求更多了。如果需要的话可以通过刷ECU到228的动力，不过长期使用肯定对发动机有所损伤的，不推荐。其实敞篷就是慢慢开，在马路上吸睛就行了。三个模式区别非常分明。ECO转速抑制的很好，且能在松油门的时候自动降到800转速滑行，此时只有1个油耗。ECO还有个驾驶模式分析功能，能帮你检测你的开车习惯是否良好，有5星打分的。在急刹车或者急加速的时候都会给你提示，让你缓点踩。要激烈的话，ECO深踩也有非常棒的推背感。Comfort模式比较正常，想快能快，想缓能缓。Sport模式稍微激进点，会自动关闭发动机启停。油门响应非常细腻，一点点油门的变化都会影响车速。开起来很刺激。尤其敞篷后红灯地板油起步，非常拉风的感觉。,1
外观比较呆萌，我自己还是比较喜欢。哈哈，白色的挺好看。,1
外观大气，我选的白色，当初喜欢棕色，也适合我这个20多的男人，比较稳重。,1
空间吧，不过谁在意呢，三口之家够用,0
动力表现是非常不错的，节能模式很少用，开起来的感受比较懒散，如果你非常累的话可以用用，会觉得轻松惬意，舒适模式下已经随叫随到了，运动模式还是能有一些激情的，在城市里开，这个动力水平是有点过剩的，有时候想用运动模式爽一把还得找地方，在这个级别里，我给五颗心。,1
没说的，3.0t车又小你还不懂？,1
空间确实比较一般,0
舒适性不错，除了有点单调之外，还是很满意的，没有真皮的，不过舒适度还是可以的，开着也不会很疲劳,1
空间还是非常大的，尤其是后备箱的空间，进深非常不错。,1
再给我60万，我还会买他,1
不飙车足够了 日常行驶超车妥妥的,1
这么说吧，后轮过减速带的时候，有一种脊柱要从屁股里戳出来的感觉。,-1
合适的坐姿花了7000公里才找到我靠。。。而且还是顶脑袋，我187,-1
宝马品牌本来就没啥性价比！,-1
没有性价比可言啊，如果不是BMW，这个价位可以上其他车型的顶配还有多余的米米！,-1
现在油耗是8升左右，100公里，平时都是乡镇驾驶，很满意,1
本来想买十几万的，朋友的车都20多万了，想想比这房价一辆车根本不算什么，就买了。,1
内饰个人觉得比同价位的车厚道太多了，你正常坐姿下身体能接触到的地方都是软包裹。,1
没有前雷达，在停车场小巷子里面挪车比较费力。,-1
好看特别好看，为了这个外观才买的,1
还是挺喜欢的外观，个人有点小资情节，比较适合我的口味,1
按我实际的提车价（不是填报价格哦）来说是非常高了,-1
条件允许直接上220i再选装原厂一堆诱人的配置吧！！！真心的！220的4缸和218的3缸还是有很大区别的……抛开购置税减半……差价4万还是很值得了！电动座椅！218加装要9000！17寸轮毂！218加装要8000！双出排气正常改装1000左右！剩下的2万当然就是发动机差异咯……个人觉得220值得拥有！！！,1
外观造型还是很满意的，车头造型挺有型的，很时尚,1
前脸有种俯冲的视觉冲击感迎面而来，给人的感觉不是咄咄逼人的那种不爽，而是一种强大霸道的震撼感。,1
方向盘虚位小，操控灵活。,1
想要舒适性就上5系吧,-1
车感还是不错的、过减速带坑坑洼洼的路面，减震过滤的不错。车内噪音也比较小。座椅比较舒服，宝马一贯风格。,1
大且灵活，车身娇小，内部空间却有惊喜。,1
承载方面够呛不过前排后排座人还是满ok的,1
悬架有点偏硬，过减速带震动较大，国产后座垫加厚3厘就是因为这吧！噪音,-1
熄火或发动声音大，胎噪声有点大,-1
很好看，我喜欢我的车加了宽体。回头率100分,1
舒适性 还可以，感觉减震、乘坐都有一个应该有的感觉。,1
一般,0
外观其实就是我喜欢它的原因,1
一般 毕竟40W可选车特别多,0
依旧有不少死忠粉纠结于宝马运动精神的丧失,-1
油耗目前2000多公里七个油，加上我开车也不算特别温柔，还算满意,1
内饰IP部分的搪塑件质感不好；轮毂造型不富有动感；第二排进出性很一般，放倒前排座椅时不能很快将座椅向前推，而是用电动按钮缓缓前移。,-1
bmw风格，简单干净舒服，赞。,1
外观低调不霸气，我觉得挺好的。。。,1
绝对够用.只要你想超的.基本都是分分钟.,1
空间很大，尤其是后备箱空间，用起来非常方便灵活。,1
随心所欲，指哪打那，目前没有发现操控不满意的地方。安逸。,1
这个就不需要多说了，本身就是冲着宝马的操控来的。,1
三缸低速蠕动时候抖动还是不太爽的，怠速和速度起来都还行，就是蠕动真心抖，还有就是有电子手刹没自动驻车，我去，开习惯了自动驻车了！,1
动力没压力，起步一点都不肉，中间提速也是很轻松的事儿。,1
单出排气,0
内饰细节还行，来自德国莱比锡工厂的精品，创新型的德国人做事就两,1
车子的这个操控是特别的给力的，就是车子操控的一个手感都是要比其他一般的车子开起来感觉好太多的。,1
上市那会我就很喜欢他了，外观很好看，不多想我决定买它，要买的话肯定是外形很重要,1
那还用说，没有比这性价比更好的了吧,1
天气冷了，换挡时，1到3档升档或降档时都有些许顿挫感，刚提车开回来的第一个星期就没有这种感觉！不知啥原因！还有车头太短了，看不见车头，看不见车头，看不见车头啊！宝马竟然看不见头，还是宝马么？??而且冷车启动时，速度来了，四个车门内有异响，就像是门里面有小石子在滚动一样，问了4S店的师傅也不太清楚！,-1
路感不错，方向很准，过弯的时候让你很有自信！,1
做工出众，设计上也许因为是宝马的第一款休旅车，所以感觉上有点小不适应,1
敞篷拉风程度绝对够吸睛，性价比也特别高。,1
很多选装配置如果之前都给带好，那就更好了。,-1
座椅包裹性非常好，可变转向很人性化，M方向盘手感不错,1
相当有劲，起步毫无压力，感觉是缓慢的低扭很强，随即而来的发动机声音也比较大,1
动力要说用的话是够用的，代步已经足够了，不过要是追求驾驶乐趣就还差点。,1
线条不错，很满意，看着比奔驰B舒服,1
这个车车的悬架我也没想到会这么好。在我印象当中，宝马的悬念都很硬。但是开了这段时间，特别是过减速带的时候，感觉很舒缓。,1
杠杠的，就是后轮小了点，雨天雪天慢行，跑街妥妥的,1
动力在sports 时比较强，综合不明显，在节约模式时会比较肉，无办法，节约油。,1
外形和动力,0
比较喜欢，没什么可以吐槽的,1
唯一的感受就是胎噪稍微有声音！但是平时我只要开必须离不开音乐，其实几乎听不见噪音，只是媳妇开的时候会说两句，我一般都说她“要啥自行车”。,-1
都说内饰low，我反而觉得我喜欢宝马的内饰，只是刚刚上手的时候觉得操作台的宽度比其他宝马的宽，有点怪怪的感觉开一段时间之后就习惯了也挺好。但是我就不知道为什么中央扶手要设计成这样，这个是这个车我最不喜欢的一个地方。便利性不好，也不好看。。,-1
之前开惯了锐志，我自己开起来实话动力觉得一般般，提速有点肉，但是给老婆代步接孩子上学。她是觉得够了。,0
动力平顺，随叫随到，空间大赞，性价比高。,1
空间在这个级别的跑车中来说是很好了，我1米75的个后排无压力，驾驶座位空间也足够，头部大概还有一拳不到的距离，我前排角度调整后后排腿部还有1拳头的距离，顶部坐正会顶到头，总的来说还可以，,1
空间不用 说舒适 ，大，宽阔，真没买错，还算不错。,1
配件费用极高，我的后视镜撞坏了需要4372元才能换个新的，尾灯需要1600才能换新，而且还全国无货要等好几个月。,-1
外观美观，省钱而且不失豪车的风范，开着也没发现有什么问题,1
品牌 动力 油耗,0
上坡不降档就会比较吃力。,-1
其一，动力。2系运动旅行车虽不是传统意义上的运动宝马，但是实际驾驶起来特别是调整到运动模式 S档，动力相当充沛。其二，空间。自从试乘试驾开始就很满意2系旅行车的后排乘坐空间，1家5口出行最起码不挤，不压抑！头部的全景天窗恰到好处，在这个价位中既有面子又能兼顾使用的真的不多了！,1
基本无顿挫，加速比较线性，涡轮介入较早，提速还是可以的跑,1
车子外观还是很不错的，前脸格栅处非常有特点，而且车子侧面的凹陷感更加立体，有内涵！,1
转向精准，路感直接，悬挂也正好。在运动模式下，动力配合到位，真的能指哪打哪，可以做到人车合一。,1
比预期低好多，前100公里油耗显示11.4，旅程电脑显示现在200多公里总的综合油耗8.2，300公里磨合期过了清了一次后的油耗是7.6，首保没做，没特别暴力的开，偶尔地板油,1
配置都是一些比较基本的配置吧，没有一些倒车的辅助装置真的是很不方便,1
座椅软硬度合适比较舒服，可是木有腰部支撑，隔音隔热比预期的好,1
操控，转向清晰，这一项我不知道该怎么表达，本来也不懂车，就是方向盘不重，很好操控,1
后备箱可以放不少东西，因为是防爆胎，所以没有备胎，后备箱暗格还有空间。驾驶位周围的储物格空间还挺多的。车内空间布局被大大释放了，能够更灵活地布置后箱储物空间。,1
舒适也挺好的，没什么吐槽的了，水准应该有中等偏上。,1
没有工信部说的那么省油，官方的油耗就是忽悠人的（6个油）目前百公里13个油，舒适模式下跑的。,-1
颠！油耗略高，看你油门怎么踩～内饰延续了宝马没内饰的传统，就是没有内饰～音响效果足够渣，我的老凯美瑞也比他好～n55机头温度过高，宝马的温度一向很高，不过235散热真的很差很差，赛道跑两圈基可以歇菜了～还有，没有油温，水温表，真不知道宝马怎么想的，难道对自己的车温度很有信心？难道认为买这车的人不会下赛道？每次都进工程界面调出来实在太麻烦，不过后期也是可以加装的，只不过花点钱～关于排气也是我想吐槽的一点，不知道是不是宝马想和M—Power拉开距离，即使开到s加模式换到s挡车外的声音还就是不那么大，一点不符合M套件3.0t的排气声音，车内排气声音但是会变的挺大的，因为宝马用了车内的模拟补偿声浪，这个技术现在可以说是相当流行，很多性能车都用，这样一来，排气就根本是自娱自乐的了，好听低沉有力的排气声可以唤起激情，让肾上腺素飙升??,-1
想要舒适性就上5系吧,-1
没电耳，死扣死扣的，多个电耳会死啊。内饰老套，车头没有感应器。,-1
n,0
前排很爽，后排没考虑过，目前为止还没找到最合适的位置,0
目前行驶了550公里，因为有跑高速的原因，油耗8.8的样子。,1
兴致来了就用运动模式，1.5T的动力，踩一脚油门速度就提上来了，反应灵敏不迟钝，不过也不常用，毕竟耗油。,1
挺高级的，很满意，布局也很实用，没什么麻烦。,1
车头很宝马。其他没太多亮点。但是，但是，但是，一个敞篷搞定所有对外观的要求。要的就是不一样，就是装逼来着。。。,1
悬挂略颠，特别是国内这种到处修路挖坑的路况，和我之前的CX-5还是没法比。,-1
舒适很好，舒服自在，自由吧,1
本来想着它的油耗会偏高的，因为是德系车嘛，但是开了一段时间了还是很不错的，正常水准都可以承受住。,0
舒适性是最不满意的一点啦，整个硬邦邦！肩周炎都要犯了。不过配上腰枕应该会好很多。看在它拉开敞篷的那一刻的拉风，一切都可以被原谅??,0
静音效果很不错,1
车身还是挺重的，到起步不错，可能跟我之前开的是1.6自吸有关吧，1.5T妥妥的够用了！说到大家说的顿挫，可能大伙们之前开的都是好车，比较敏感？我之前开的4AT，这点顿挫真不算什么。,1
超车完全没问题，前段加速干脆流畅！后段加速乏力，但是在市区开的话不是飙车族的都是完全够用的！,1
听销售说，底盘悬挂貌似和MINI是一样的，是前驱车里底盘最好的,1
最满意这个车子的那就是车子的外形了，是好多的人都一致认为的好看就是那个天使眼的大灯，我也喜欢。,1
外形很年轻化，内饰布局设计特别的好看，很喜欢,1
凑合,1
空间很大，无论是头部空间还是腿部空间都比较宽松,1
踩刹车会有异响，总感觉心里毛毛的,-1
可以接受,1
舒适性不错，除了有点单调之外，还是很满意的，没有真皮的，不过舒适度还是可以的，开着也不会很疲劳,1
埃蓝的颜色现在有点烂大街 但是小地方也还可以 够骚包了 天使眼非常醒目 尾灯就是倒车灯难看了一些 白色的 不过不倒车别人也看不到 整个车前包围挺凶的 比起m2来说是差了点意思 不过毕竟人家真的是m 还是要做出点差距来的 轮毂的话视觉效果也一般 比起m2的轮毂差太多意思了 哈哈哈 就是迷恋m 要不是米不够 m2毫不犹豫 买了235才知道小地方早就有m2了 还是低调一点好了 还是想念心心念念的矿石灰 m2能够满足全部需求,1
舒适性嘛，怎么说呢，仁者见仁智者见智吧。,0
百公里不到八个油，还是比较省油的。,1
配置有点奇葩，该有的没有，不常用的就有,-1
只能说1.5T可以满足日常基本需求吧，想要驾驶乐趣，就考虑2.0T版本的吧跑,1
线条优美，宝马最让人诟病的尾灯设计在这款车上彻底改变了，变得很时尚动感；软顶敞篷的设计更有敞篷车的感觉。只是前档设计使视野小了些，刚开始不习惯。,1
车子的舒适度很好，软硬适中，也不会有过度的弹跳。,1
外观漂亮，回头率超高。动力强劲，省油。运动气息浓厚，年轻人的菜。,1
庆幸自己买了四座的跑车 空间足够了 购物袋足够空间放 如果是两座那可惨了,1
前减震过较高的减速带时有异响。过坑的时候感觉避震器太硬。,-1
油耗，还行，能接受，德系车是高一点，不过也没差，自己也不怎么跑，油耗是可以接受的，不算高。,1
高级车咱也没坐过多少，这个价位级别里，算是不错的了。,1
我觉得这车开车7.8的油耗是真的不高，相当可。,1
没成家，99%的时间都是自己一个人开，我181cm，但是后排空间相对而言我还是很满意，我前排调整好位置后坐到后排差不都还有4指左右的空间，好像我身边一圈子人都没我高，所以空间不拘谨,1
车子有一个我很满意的这么一个大的空间，用起来就是很爽的，车子的空间要是大的话真的是会用起来特别的爽的，车子内部的空间反正是特别的大，旅行车的意义也就是在此，空间大嘛不是。,1
1.5的动力绝对够用了，提速快，时速120后有所放缓，但也可以继续加速。一般超车无压力，基本2000转内超车都游刃有余,1
车身还是挺重的，到起步不错，可能跟我之前开的是1.6自吸有关吧，1.5T妥妥的够用了！说到大家说的顿挫，可能大伙们之前开的都是好车，比较敏感？我之前开的4AT，这点顿挫真不算什么。,1
在运动模式下起步速度很快,1
可以,1
好开好停,1
很好啊，觉得硬的每天睡在棉花上嘛，只要你没到骨质疏松的份上不会觉得硬的，你的注意力都在驾驶上呢。,1
车子的性价比在我看了是还可以的，我是真是满意的，花了个低价钱给我买了一个这么好得车子很不错的呢。,1
360确实是有理有据的，首先这车令人满意的地方真的是很多，比如六座的空间，车内座椅调节功能，设计的比较人性化。,1
前排与1系一致，可以接受，后排还能坐人，凑合,1
宝马的操控根本不用多说，就是很灵活，跑着自在。跟朋友约好了出去玩，都愿意坐我的车，坐着舒服。,1
作为一台紧凑级别的车，后排空间有点夸张。,1
我是16款192匹…但是2系车小，也算轻，城市用足够了，偶尔还是有点小激情…,1
车子的内饰看起来感觉一般，尤其是在用料方面基本上都是塑料感觉不是很有档次。,-1
之前开的1.6 POLO能开到10个油，现在开的220i是9.8个油，所以我觉得还是算省油的。,1
该有的配置都有，目前这车还很少开,1
没有真皮，内饰一般,-1
BMW一直在操控方面视为代表品牌，相当不错,1
行驶舒适和安静，驾控出众做工缜密，动力足够，比肩3.0更有性价比,1
空间的话对于这个车子绝对的就是一个亮点的，车子的空间是特别的大的，不管是哪一方面的这个空间都是很好的，就先说一下车子的乘坐的空间，前后两排都是很好很大很充足的，再一个就是车子的储物空间，这个车子的储物空间设计的很到位的，特别的合理，很方便的，后备箱是很可以随便往里面塞东西的额，真的是随便塞啊。,1
除了胎噪其他都还可以。,0
油耗8 还是很不错的 满意,1
这款车空间比较大，主驾驶座放到最后后面还能坐下一个大人。开车视野比较宽阔，看的比较清楚。油耗不是很高。总体比较满意。,1
动力够，提速也挺快，虽然上了高速超车比较慢。,1
外观非常漂亮，前脸也是典型的宝马风格。,1
挺时尚，大爱墨尔本红,1
我们家的人不高不胖，这空间还是够用，大到乘坐空间，小到储物空间都没有什么问题的。在车内想怎么坐就怎么坐。,1
车子看起来真的显大，但转向挺灵活的，过弯也很轻松，开起来也特别稳。,1
减震过硬，中控不能播放视频什么的,-1
没说的，3.0t车又小你还不懂？,1
油耗感觉适中。,0
通风一周，就OK了。很不错！！！开车换车至今，从未有过的经历。,0
起步须给油，速度上来后提速不错，城市通勤上高速都没问题。加速,1
领先版的内饰比较粗糙。没有亮色面板和氛围灯。织物座椅也很low。这点实在是糟糕，20w的车，怎么也要上个仿皮吧,-1
绝对够用.只要你想超的.基本都是分分钟.,1
这个品牌性价比还是可以的，还有就是性价比，比的是购买价格与个人的心理预期，这个真的不好说。仁者见仁智者见智！作为一款功能性更强、家庭使用更便利，同时也具有品牌价值的紧凑型豪华车，这个价钱也并不算昂贵。选装,1
内饰就是简单了一点，我又买了一些装饰，看上去是比较好了，这都不是太大的问题，某宝都可以解决的。,1
绝对超高回头率,1
外观依然要说，而且不需要用过多的语言描述，宝马很吸引女性,1
外观我个人认为是耐看型，旅行范，喜欢，我又改了灯，加了透镜两只眼睛很好看，大爱外观,1
目前车子的油耗在八个多，感觉在市区驾驶能有这个油耗还是可以的。,1
eps故障灯提回第二天就亮了，打电话给4s，他们说下次保养的时候帮我解码就好还是不爽。,-1
宝马品牌，空间大,1
外观大气稳重，虽然没有什么亮点，但很是大气耐看。,1
又要谈内饰了，一谈内饰我就想流泪，其实内饰的设计还是不错的，功能也很简单好用，就是用料太差，太显廉价，那个车门...算了还是不谈了。值得一提的是这车有感应雨刮功能，那个灵敏度调节开关真心不好用，你想升一个档结果一掰，就上去了两三个档，实在是太低级了，不过新款的用料至少是软塑料了，听说老款还是硬塑料，还是知足吧。,-1
做工还可以，用料也还行。,1
内饰吧！这都一些什么玩意不能学学人家奔驰奥迪的?,1
最不满意，车子对于我来说犹如小时候新买的玩具，因为新，还处于新鲜期，所以我并没有什么不满意的。,1
主驾驶的座位空间很宽敞，后排在坐满三个人的时候不管腿部还是头部空间都很大， 一家人座得很舒服。储物,1
绝对足够。后排能坐人,1
外观肯定是好看的啦，再加上质感十足，车子变得更加有美系的风格了，而且有运动外观套件的加持，看起来整体足够帅气。,1
有时候觉得挺帅，有时候觉得有点土肥圆。这个价位不能给你造太好看了呀。而且照顾到后排头部空间造型没办法太好。,1
有这样的外观，还有这样的内饰，哥已经很满意了。,1
城市里1.5T基本足够用，对我来说是够了，毕竟买它也不是飙车，开启运动模式地板油还是很给力的，不信自己试试就知道。,1
前面和后面很符合国人审美观，家族特征明显，但是千万别侧看，你会吃不下饭的。和五菱面包没啥区别,0
动力不自夸特别棒，但是绝对够用，爬坡、上高速就没有怂过，输出还是特别的稳定。,1
中控科技感很强，是我比较喜欢的风格，不会太花俏，做工中等，用料厚道。,1
油耗还是很满意得，百公里才八个油。,1
完美,1
一家三口问题不大！后排上了儿童安全座椅！但直接插是擦不上去的！因为后排中间杯架这块是凸起的！是要上延长扣才能装上.两人坐很宽裕！非常宽裕！乘坐,1
太骚，回头率百分之百 ，开着去菜市场买菜老板娘眼里都透着欲望看车。,1
空间上是我最满意的一点，“容纳你世界”不是说说而已，从外观上来看，看着不是很大的样子，但内部空间设计上能很充分的利用起来，特别是后备箱的空间，可以塞好几个行李箱，下面还有暗格，当然，我并没有那么多行李箱来做实验，所以只能目测啦。如果需要塞大件的或者行李超多的时候，后排的座椅还可以往前折叠呢。,1
动力自然是不错的，油门一踩，动力立刻就跟上来。,1
外观空间这些我都觉得挺满意的，逼格很高，一地那都不像十几万的车，性价比蛮高的。,1
副驾侧雨刮器千万别拿起来，会伤到机盖车漆，别问为什么，已经吃过亏了，胎噪有点大但放着音乐的话可以无视，高速还没感受过，其他的就都还好吧,1
这么说吧，后轮过减速带的时候，有一种脊柱要从屁股里戳出来的感觉。,-1
